Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,geometry
58963687,2023-09-29 23:26:00,,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11218,11 EAST   10 STREET,EAST   10 STREET,CATON AVE,CHURCH AVE,,,ADDRESS,BROOKLYN,,,Open,,,,14 BROOKLYN,3050710069.0,BROOKLYN,992409.0,175376.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.648039502907295,-73.97059787328804,"(40.648039502907295, -73.97059787328804)",17620.0,60.0,2.0,11.0,43.0,POINT (992409.0028059098 175376.16142867596)
58965312,2023-09-29 23:20:00,09/30/2023 12:20:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11211,497 UNION AVENUE,UNION AVENUE,BROOKLYN QUEENS EP ET 32 B  WB,JACKSON ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 12:20:00 PM,01 BROOKLYN,3023150026.0,BROOKLYN,997592.0,199976.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71555460310349,-73.95187148570918,"(40.71555460310349, -73.95187148570918)",17613.0,36.0,2.0,38.0,57.0,POINT (997591.9721174104 199976.21513505495)
58959127,2023-09-29 23:20:00,09/30/2023 12:51:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11218,1139 PROSPECT AVENUE,PROSPECT AVENUE,11 AVE,TERRACE PL,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",09/30/2023 12:51:00 AM,07 BROOKLYN,3052567501.0,BROOKLYN,990723.0,178167.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.655701582866364,-73.97667093717519,"(40.655701582866364, -73.97667093717519)",17617.0,9.0,2.0,27.0,45.0,POINT (990722.9955552181 178167.16261908176)
58956035,2023-09-29 23:17:00,09/30/2023 09:15:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11361,39-17 215 PLACE,215 PLACE,39 AVE,40 AVE,,,ADDRESS,BAYSIDE,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 09:15:00 AM,11 QUEENS,4062480001.0,QUEENS,1048506.0,218317.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.7656726287737,-73.76803504508366,"(40.7656726287737, -73.76803504508366)",14196.0,26.0,3.0,20.0,69.0,POINT (1048506.0608384137 218317.30347148102)
58966874,2023-09-29 23:17:00,09/30/2023 08:10:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11222,726 HUMBOLDT STREET,HUMBOLDT STREET,NASSAU AVE,NORMAN AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 08:10:00 AM,01 BROOKLYN,3026540056.0,BROOKLYN,999334.0,203959.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.72648417652491,-73.94557865509591,"(40.72648417652491, -73.94557865509591)",18182.0,36.0,2.0,38.0,57.0,POINT (999333.9694699591 203959.2247530653)
58966218,2023-09-29 23:15:21,10/01/2023 11:19:12 AM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11377,41-41 51 STREET,51 STREET,,,,,ADDRESS,WOODSIDE,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,10/01/2023 12:00:00 AM,02 QUEENS,4013140003.0,QUEENS,1008184.0,210617.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.74473921638608,-73.91362519919949,"(40.74473921638608, -73.91362519919949)",14787.0,53.0,3.0,33.0,66.0,POINT (1008183.978565139 210617.2490257718)
58966875,2023-09-29 23:08:00,,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11229,3010 GERRITSEN AVENUE,GERRITSEN AVENUE,LOIS AVE,DEAD END,,,ADDRESS,BROOKLYN,,,Open,,,,15 BROOKLYN,3088451900.0,BROOKLYN,1006608.0,153429.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.5877751075393,-73.91950243900395,"(40.5877751075393, -73.91950243900395)",13512.0,32.0,2.0,8.0,36.0,POINT (1006608.0544766522 153429.16273628274)
58963107,2023-09-29 23:06:15,10/01/2023 08:18:32 PM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11368,96-04 57 AVENUE,57 AVENUE,,,,,ADDRESS,CORONA,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,10/01/2023 12:00:00 AM,04 QUEENS,4019180045.0,QUEENS,1021645.0,207759.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.736848050167545,-73.86506209170804,"(40.736848050167545, -73.86506209170804)",14510.0,66.0,3.0,21.0,68.0,POINT (1021645.0109422067 207759.2661863109)
58963688,2023-09-29 23:05:00,09/30/2023 04:00:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11421,88-22 85 STREET,85 STREET,88 AVE,88 RD,,,ADDRESS,WOODHAVEN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 04:00:00 AM,09 QUEENS,4089160039.0,QUEENS,1023577.0,190723.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.69007997590451,-73.85819010081225,"(40.69007997590451, -73.85819010081225)",24017.0,46.0,3.0,41.0,60.0,POINT (1023577.0329971713 190723.25126510396)
58962157,2023-09-29 22:56:00,09/30/2023 04:40:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11694,109-32 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH 109 ST,BEACH 110 ST,,,ADDRESS,FAR ROCKAWAY,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 04:40:00 AM,14 QUEENS,4161660073.0,QUEENS,1031125.0,151168.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.5814733771142,-73.83124747559792,"(40.5814733771142, -73.83124747559792)",20532.0,51.0,3.0,41.0,58.0,POINT (1031125.08252814 151168.23171329556)
58956036,2023-09-29 22:56:00,09/30/2023 01:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11220,441 BAY RIDGE AVENUE,BAY RIDGE AVENUE,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 01:15:00 PM,10 BROOKLYN,3058640068.0,BROOKLYN,978062.0,170284.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63406465145726,-74.022294675616,"(40.63406465145726, -74.022294675616)",18180.0,10.0,2.0,44.0,41.0,POINT (978062.0024138105 170284.12142092377)
58966876,2023-09-29 22:50:00,09/30/2023 07:10:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11694,306 BEACH  102 STREET,BEACH  102 STREET,NYCTA SUBWAY,BEACH CHANNEL DR,,,ADDRESS,FAR ROCKAWAY,,,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,09/30/2023 07:10:00 PM,14 QUEENS,4161570029.0,QUEENS,1033295.0,152342.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.58468402788436,-73.82342685999265,"(40.58468402788436, -73.82342685999265)",20532.0,51.0,3.0,41.0,58.0,POINT (1033295.0837008065 152342.23908326484)
58964607,2023-09-29 22:41:19,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11101,11-46 44 DRIVE,44 DRIVE,,,,,ADDRESS,LONG ISLAND CITY,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/29/2023 12:00:00 AM,02 QUEENS,4000520042.0,QUEENS,998303.0,211967.0,PHONE,Unspecified,QUEENS,,,,,,,,40.74846584910902,-73.94928165590004,"(40.74846584910902, -73.94928165590004)",16858.0,53.0,3.0,33.0,66.0,POINT (998302.9549894491 211967.2363906362)
58960735,2023-09-29 22:38:00,09/30/2023 08:20:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11224,3703 NAUTILUS AVENUE,NAUTILUS AVENUE,DEAD END,SEA GATE AVE,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",09/30/2023 08:20:00 AM,13 BROOKLYN,3070030041.0,BROOKLYN,983334.0,149195.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.576181765432025,-74.00329738603602,"(40.576181765432025, -74.00329738603602)",18184.0,21.0,2.0,45.0,35.0,POINT (983334.0394208928 149195.08913699197)
58956037,2023-09-29 22:38:00,09/30/2023 02:00:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10469,2729 PEARSALL AVENUE,PEARSALL AVENUE,ALLERTON AVE,ARNOW AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 02:00:00 AM,11 BRONX,2045240068.0,BRONX,1025200.0,254793.0,ONLINE,Unspecified,BRONX,,,,,,,,40.86592755232667,-73.85194723069253,"(40.86592755232667, -73.85194723069253)",11607.0,59.0,5.0,12.0,32.0,POINT (1025199.9940061485 254793.20781455928)
58964619,2023-09-29 22:35:29,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11207,425 JEROME STREET,JEROME STREET,,,,,ADDRESS,BROOKLYN,,,Open,,"The Department of Housing Preservation and Development was not able to gain access to inspect the conditions. If the conditions still exist and an inspection is required, please contact the borough office with your complaint number at 718 827 - 1955 (BROOKLYN).",09/29/2023 12:00:00 AM,05 BROOKLYN,3040300003.0,BROOKLYN,1015821.0,183832.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67119682643579,-73.88618984205488,"(40.67119682643579, -73.88618984205488)",17214.0,45.0,2.0,25.0,47.0,POINT (1015821.0274664909 183832.22724422428)
58962158,2023-09-29 22:32:00,09/30/2023 11:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11378,65-20 JAY AVENUE,JAY AVENUE,65 PL,66 ST,,,ADDRESS,MASPETH,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 11:30:00 AM,05 QUEENS,4023790018.0,QUEENS,1012010.0,204134.0,PHONE,Unspecified,QUEENS,,,,,,,,40.72693381074416,-73.89984440733953,"(40.72693381074416, -73.89984440733953)",14788.0,54.0,3.0,34.0,62.0,POINT (1012009.9951721238 204134.2461391238)
58956038,2023-09-29 22:32:00,09/30/2023 12:30:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11435,83-35 139 STREET,139 STREET,83 AVE,MAIN ST,,,ADDRESS,JAMAICA,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 12:30:00 PM,08 QUEENS,4096650001.0,QUEENS,1034321.0,198834.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.71228846297417,-73.81938792221477,"(40.71228846297417, -73.81938792221477)",24670.0,25.0,3.0,24.0,65.0,POINT (1034321.0453044478 198834.27913420106)
58960079,2023-09-29 22:29:13,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11226,188 PARKSIDE AVENUE,PARKSIDE AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/29/2023 12:00:00 AM,14 BROOKLYN,3050540011.0,BROOKLYN,994975.0,177941.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.655077133322926,-73.96134684659552,"(40.655077133322926, -73.96134684659552)",13510.0,60.0,2.0,11.0,43.0,POINT (994975.0024926402 177941.17197400637)
58963052,2023-09-29 22:26:59,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,2300 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/29/2023 12:00:00 AM,05 BRONX,2031590001.0,BRONX,1011958.0,251743.0,PHONE,Unspecified,BRONX,,,,,,,,40.85760772449226,-73.89983560670379,"(40.85760772449226, -73.89983560670379)",10936.0,6.0,5.0,22.0,29.0,POINT (1011957.972077128 251743.18587647667)
58966877,2023-09-29 22:26:00,09/30/2023 09:10:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11691,29-10 FABER TERRACE,FABER TERRACE,BEND,GRANADA PL,,,ADDRESS,FAR ROCKAWAY,,,Closed,,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,09/30/2023 09:10:00 PM,14 QUEENS,4156840088.0,QUEENS,1049273.0,161542.0,PHONE,Unspecified,QUEENS,,,,,,,,40.60983327714139,-73.765814121416,"(40.60983327714139, -73.765814121416)",20529.0,51.0,3.0,47.0,59.0,POINT (1049273.0950489338 161542.28982655637)
58964562,2023-09-29 22:23:55,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,2300 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,,Open,,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09/29/2023 12:00:00 AM,05 BRONX,2031590001.0,BRONX,1011958.0,251743.0,PHONE,Unspecified,BRONX,,,,,,,,40.85760772449226,-73.89983560670379,"(40.85760772449226, -73.89983560670379)",10936.0,6.0,5.0,22.0,29.0,POINT (1011957.972077128 251743.18587647667)
58966105,2023-09-29 22:20:32,10/04/2023 03:43:37 PM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10474,1275 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,10/04/2023 12:00:00 AM,02 BRONX,2027400039.0,BRONX,1015150.0,236821.0,ONLINE,Unspecified,BRONX,,,,,,,,40.816640597943895,-73.88836528707218,"(40.816640597943895, -73.88836528707218)",12343.0,8.0,5.0,43.0,24.0,POINT (1015149.9829062676 236821.2188433438)
58963689,2023-09-29 22:20:00,,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11223,1613 WEST   13 STREET,WEST   13 STREET,AVENUE P,KINGS HWY,,,ADDRESS,BROOKLYN,,,Open,,,,11 BROOKLYN,3066190073.0,BROOKLYN,988089.0,160415.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60697763243549,-73.98617412199809,"(40.60697763243549, -73.98617412199809)",18183.0,1.0,2.0,18.0,37.0,POINT (988089.022530271 160415.12255772582)
58962235,2023-09-29 22:20:00,10/02/2023 07:37:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10306,140 HAVEN AVENUE,HAVEN AVENUE,ADAMS AVE,HUNTER AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",10/02/2023 07:37:00 AM,02 STATEN ISLAND,5036790020.0,STATEN ISLAND,956951.0,150217.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.57894496994225,-74.09827410955283,"(40.57894496994225, -74.09827410955283)",10693.0,30.0,1.0,14.0,76.0,POINT (956951.0660795983 150217.07743222849)
58967684,2023-09-29 22:19:37,10/04/2023 06:57:37 PM,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10128,11 EAST   88 STREET,EAST   88 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,10/04/2023 12:00:00 AM,08 MANHATTAN,1015000009.0,MANHATTAN,995646.0,224396.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78258405982354,-73.9588498967438,"(40.78258405982354, -73.9588498967438)",10099.0,23.0,4.0,51.0,11.0,POINT (995645.9467493958 224396.20902271956)
58966247,2023-09-29 22:19:37,10/04/2023 06:09:12 PM,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10458,2710 VALENTINE AVENUE,VALENTINE AVENUE,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,10/04/2023 12:00:00 AM,07 BRONX,2033000033.0,BRONX,1014008.0,255072.0,PHONE,Unspecified,BRONX,,,,,,,,40.86673814621362,-73.89241008490421,"(40.86673814621362, -73.89241008490421)",10936.0,24.0,5.0,22.0,34.0,POINT (1014007.9745751572 255072.18407778683)
58956039,2023-09-29 22:17:00,09/30/2023 01:05:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10304,311 GORDON STREET,GORDON STREET,LAUREL AVE,OSGOOD AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 01:05:00 AM,01 STATEN ISLAND,5005600047.0,STATEN ISLAND,961037.0,164923.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6193215849607,-74.08361539597753,"(40.6193215849607, -74.08361539597753)",10691.0,4.0,1.0,13.0,74.0,POINT (961037.0232716448 164923.08903263864)
58965313,2023-09-29 22:08:00,09/30/2023 01:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10306,210 BARBARA STREET,BARBARA STREET,WILDER AVE,ANDREWS AVE,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 01:30:00 AM,03 STATEN ISLAND,5044160066.0,STATEN ISLAND,946567.0,146519.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.56875663892781,-74.13563497383285,"(40.56875663892781, -74.13563497383285)",10693.0,15.0,1.0,14.0,76.0,POINT (946567.0888128737 146519.07279156882)
